"","tree","plot","site","species","date","time","notes","week","lwc_bulk","dm_bulk_g","wm_bulk_g","rep","lwc_leaf","dm_leaf_g","wm_leaf_g"
"1",10,"Chamise","Chamise","ARCA",2022-09-12,"pd","WM weighed on 10/27-old and moldy",37,1.03055954852792,1.8783,3.814,NA,NA,NA,NA
"2",10,"Chamise","Chamise","ARCA",2022-09-12,"pd","Date is either 9/12 or 9/15",37,0.397378589287067,1.3199,1.8444,NA,NA,NA,NA
"3",11,"Rohan","LL","ARCA",2022-09-15,"md",NA,37,0.488980010251153,1.5608,2.324,NA,NA,NA,NA
"4",11,"Rohan","LL","ARCA",2022-09-12,"pd","WM weighed on 10/26-old and moldy",37,0.69993399339934,0.7575,1.2877,NA,NA,NA,NA
"5",12,"High","Cucu Mesa","ARCA",2022-09-16,"md",NA,37,0.437577639751553,1.932,2.7774,NA,NA,NA,NA
"6",12,"High","Cucu Mesa","ARCA",2022-09-12,"pd","WM weighed on 10/26-old and moldy",37,0.930381424946025,2.6401,5.0964,NA,NA,NA,NA
"7",1478,"Low","Cucu Mesa","blue oak",2022-09-16,"pd",NA,37,0.725960702486524,0.5751,0.9926,NA,NA,NA,NA
"8",1478,"Low","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.61517094017094,0.468,0.7559,NA,NA,NA,NA
"9",20,"High","Cucu Mesa","LEU",2022-09-16,"md",NA,37,0.338339591155611,0.4794,0.6416,NA,NA,NA,NA
"10",2004,"High","Cucu Mesa","blue oak",2022-09-16,"pd",NA,37,0.745921498950089,0.6191,1.0809,NA,NA,NA,NA
"11",2004,"High","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.575609756097561,0.369,0.5814,NA,NA,NA,NA
"12",2004,"High","Cucu Mesa","blue oak",2022-09-12,"pd",NA,37,0.671155729676787,0.4084,0.6825,NA,NA,NA,NA
"13",2004,NA,NA,NA,2022-09-16,"pd",NA,37,0.745921498950089,0.6191,1.0809,NA,NA,NA,NA
"14",2004,NA,NA,NA,2022-09-16,"md",NA,37,0.575609756097561,0.369,0.5814,NA,NA,NA,NA
"15",2004,NA,NA,NA,2022-09-12,"pd",NA,37,0.671155729676787,0.4084,0.6825,NA,NA,NA,NA
"16",2005,NA,NA,NA,2022-09-12,"pd",NA,37,0.823221892345424,1.5494,2.8249,NA,NA,NA,NA
"17",2005,NA,NA,NA,2022-09-16,"md",NA,37,0.639264203158066,0.6143,1.007,NA,NA,NA,NA
"18",2005,"High","Cucu Mesa","blue oak",2022-09-12,"pd",NA,37,0.823221892345424,1.5494,2.8249,NA,NA,NA,NA
"19",2005,"High","Cucu Mesa","blue oak",2022-09-16,"md",NA,37,0.639264203158066,0.6143,1.007,NA,NA,NA,NA
