"","tree","week_cwc_link","cwc","date_shift","week_shift","water_potential","species","time","date_wp","week","time_season"
<<<<<<< HEAD
"1","1478",8,0.0621052,2022-02-24,8,NA,NA,NA,NA,8,"before leafout"
"2","1478",9,0.0761291,2022-02-28,9,NA,NA,NA,NA,9,"before leafout"
"3","1478",10,0.0830266,2022-03-08,10,NA,NA,NA,NA,10,"before leafout"
"4","1478",11,0.0404697,2022-03-16,11,NA,NA,NA,NA,11,"before leafout"
"5","1478",12,0.0915636,2022-03-22,12,NA,NA,NA,NA,12,"before leafout"
"6","1478",14,0.098124,2022-04-05,14,-0.5714,"blue oak","pd",2022-04-04,14,"before leafout"
"7","1478",15,0.0633957,2022-04-12,15,-1.6904,"blue oak","md",2022-04-13,15,"before leafout"
"8","1478",16,0.082307,2022-04-20,16,NA,NA,NA,NA,16,"before leafout"
"9","1478",17,0.0918326,2022-04-29,17,-2.221,"blue oak","md",2022-04-27,17,"after leafout"
"10","1478",17,0.0918326,2022-04-29,17,-0.903,"blue oak","pd",2022-04-27,17,"after leafout"
"11","1478",18,0.097505,2022-05-03,18,NA,NA,NA,NA,18,"after leafout"
"12","1478",19,0.0505631,2022-05-11,19,NA,NA,NA,NA,19,"after leafout"
"13","1478",21,0.0453818,2022-05-17,20,NA,NA,NA,NA,21,"after leafout"
"14","1478",29,NA,NA,NA,-4.13333333333333,"blue oak","md",2022-07-19,29,"after leafout"
"15","1478",37,0.0806744,2022-09-14,37,-1.695,"blue oak","pd",2022-09-15,37,"after leafout"
"16","1478",37,0.0806744,2022-09-14,37,-4.073,"blue oak","md",2022-09-15,37,"after leafout"
"17","2004",8,0.0588379,2022-02-24,8,NA,NA,NA,NA,8,"before leafout"
"18","2004",9,0.0723524,2022-02-28,9,NA,NA,NA,NA,9,"before leafout"
"19","2004",10,0.107627,2022-03-08,10,-0.3335,"blue oak","pd",2022-03-08,10,"before leafout"
"20","2004",10,0.107627,2022-03-08,10,-1.65333333333333,"blue oak","md",2022-03-08,10,"before leafout"
"21","2004",11,0.0679247,2022-03-16,11,NA,NA,NA,NA,11,"before leafout"
"22","2004",12,0.0981092,2022-03-22,12,NA,NA,NA,NA,12,"before leafout"
"23","2004",14,0.0277383,2022-04-05,14,-0.38925,"blue oak","pd",2022-04-04,14,"before leafout"
"24","2004",14,0.0277383,2022-04-05,14,-2.375,"blue oak","md",2022-04-04,14,"before leafout"
"25","2004",15,0.0645346,2022-04-12,15,-2.2,"blue oak","md",2022-04-13,15,"before leafout"
"26","2004",16,0.073855,2022-04-20,16,NA,NA,NA,NA,16,"before leafout"
"27","2004",17,0.0426235,2022-04-29,17,-0.9345,"blue oak","pd",2022-04-27,17,"after leafout"
"28","2004",17,0.0426235,2022-04-29,17,-2.62066666666667,"blue oak","md",2022-04-27,17,"after leafout"
"29","2004",18,0.039369,2022-05-03,18,NA,NA,NA,NA,18,"after leafout"
"30","2004",19,0.0462396,2022-05-11,19,NA,NA,NA,NA,19,"after leafout"
"31","2004",21,0.0444557,2022-05-17,20,NA,NA,NA,NA,21,"after leafout"
"32","2004",29,NA,NA,NA,-2.138,"blue oak","pd",2022-07-19,29,"after leafout"
